ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
vxmlr : a visual xml-relational database system,sap r/3 : a database application system,a zhou;h lu;s zheng;y liang;l zhang;w ji;z tian,a kemper;d kossmann,vldb,sigmod record,2001,1998
a foundation for multi-dimensional databases,olap;relational;and multidimensional database systems,m gyssens;l lakshmanan,g colliat,vldb,sigmod record,1997,1996
efficient view maintenance at data warehouses,posse : a framework for optimizing incremental view maintenance at data warehouses,d agrawal;a abbadi;a singh;t yurek,ko abbadi,sigmod conference,,1997,1999
processing sliding window multi-joins in continuous queries over data streams,continuously adaptive continuous queries over streams,l golab;m Ð¶zsu,s madden;ma shah;jm hellerstein,vldb,,2003,1997.6
lh * rs : a high-availability scalable distributed data structure using reed solomon codes,lh * - a scalable;distributed data store,w litwin;t schwarz,w litwin;ma neimat;da schneider,sigmod conference,acm transactions on database systems ( tods ),2000,1997.6
using probabilistic information in data integration,selectivity estimation using probabilistic models,d florescu;d koller;a levy,l getoor;b taskar;d koller,vldb,,1997,1997.6
optimal grid-clustering : towards breaking the curse of dimensionality in high-dimensional clustering,the pyramid-technique : towards indexing beyond the curse of dimensionality,a hinneburg;d keim,s berchtold;c bÃ£ Â¶ hm;hp kriegel,vldb,proc . acm sigmod int . conf . on management of data;seattle,1999,1997.6
an introduction to spatial database systems,an introduction to structured modeling,r gÑœting,am geoffrion,vldb j.,management science,1994,1987
visionary : a next generation visualization system for databases,a model ofauthorization fornext-generationdatabase systems,m stonebraker,f rabitti;e bertino;w kim;d woelk,sigmod conference,acm transactions on database systems,2003,1997.6
a cost model for query processing in high dimensional data spaces,generalized multi-dimensional data mapping and query processing,c bÑ–hm,r zhang;p kalnis;bc ooi;kl tan,acm trans . database syst .,acm transactions on database systems,2000,2005
gigascope : a stream database for network applications,bgigascope : a stream database for network applications;^ in proceedings of the acm international,c cranor;t johnson;o spatscheck;v shkapenyuk,c cranor;t johnson;o spataschek;v shkapenyuk,sigmod conference,,2003,2003
the a-tree : an index structure for high-dimensional spaces using relative approximation,the a-tree : an index structure for high-dimensional spaces using relative approximation,y sakurai;m yoshikawa;s uemura;h kojima,y sakurai;m yoshikawa;s uemura;h kojima,vldb,vldb,2000,2000
concurrency control in hierarchical multidatabase systems,concurrency control and recovery of multidatabase work flows in telecommunication applications,s mehrotra;h korth;a silberschatz,ww jin;a sheth,vldb j.,sigmod record,1997,1993
automatic discovery of language models for text databases,implementation of logic query languages for databases,j callan;m connell;a du,j ullman,sigmod conference,acm trans . on database systems,1999,1997.6
semantics for update rule programs and implementations in a relational database management system,query processing in a relational database management system,l raschid;j lobo,k youssefi;e wong,acm trans . database syst .,vldb,1996,1979
workflow automation : applications;technology;and research ( tutorial ),workflow automation : technology;applications;and research,,a sheth,,caise 95 tutorial,1995,1997.6
the a-tree : an index structure for high-dimensional spaces using relative approximation,modeling high-dimensional index structures using sampling,y sakurai;m yoshikawa;s uemura;h kojima,ak singh;ca lang,vldb,proc . acm sigmod intÃ¢ ?? l conf . on management of data;santa & hellip,2000,1997.6
dbcache : middle-tier database caching for highly scalable e-business architectures,middle-tier database caching for e-business,c bornhÑ–vd;m altinel;s krishnamurthy;c mohan;h pirahesh;b reinwald,q luo;s krishnamurthy;c mohan;h pirahesh;h woo,sigmod conference,,2003,1997.6
research in database engineering at the university of namur,database research at the university of oklahoma,j hainaut,l brown;r dirckze;s guinepain;c sanchez;b,sigmod record,acm sigmod record,2003,1999
parallel mining algorithms for generalized association rules with classification hierarchy,mining generalized association rules with fuzzy taxonomic structures,t shintani;m kitsuregawa,q wei;g chen,sigmod conference,fuzzy information processing society;1999 . nafips . 18th & hellip,1998,1999
panel : is generic metadata management feasible ?,panel : is generic metadata management feasible ?,p bernstein;l haas;m jarke;e rahm;g wiederhold,pa bernstein,vldb,vldb,2000,2000
reminiscences on influential papers,reminiscences on influential papers .,,acms anthology,,sigmod,2000,1998
implementation of magic-sets in a relational database system,programming constructs for database system implementation in exodus,i mumick;h pirahesh,je richardson;mj carey,sigmod conference,proceedings of the 1987 acm sigmod international conference & hellip,1994,1987
temporal database bibliography update,temporal database bibliography update . temporal databases : research and practice,v tsotras;a kumar,y wu;s jajodia;x wang,sigmod record,,1996,1998
database research at the university of oklahoma,database research at nthu and itri .,l gruenwald;l brown;r dirckze;s guinepain;c sÑnchez;b summers;s vanichayobon,alp chen,sigmod record,sigmod record,1999,1994
editor ¡¯s notes,editors ¡¯ notes,l liu,pj gray;tw banta,sigmod record,new directions for higher education,2003,1997.6
managing intra-operator parallelism in parallel database systems,signature caching in parallel object database systems,m mehta;d dewitt,k norvag,vldb,information and software technology,1995,2002
mpeg-7 and multimedia database systems,multimedia databases coursenotes,h kosch,a ghafoor,sigmod record,proceedings of acm multimedia conference,2002,1997.6
a consensus glossary of temporal database concepts, sk gadi p. hayes and s. jajodia ( e & ) : Ã¢ ?? a consensus glossary of temporal database conceptsÃ¢ ??,c jensen;j clifford;r elmasri;s gadia;p hayes;s jajodia,cs jensen;j cliftord,sigmod record,a chf sig3fod,1994,1997.6
wavelet-based histograms for selectivity estimation,on-line selectivity estimation for xml path expressions using markov histograms,y matias;j vitter;m wang,l lim;m wang;s padmanabhan;js vitter;r parr,sigmod conference,,1998,1997.6
using semantic values to falilitate interoperability among heterogeneous information systems,semantic integration and query of heterogeneous information sources,e sciore;m siegel;a rosenthal,s bergamaschi;s castano;m vincini;d beneventano,acm trans . database syst .,,1994,1997.6
webdb ¡¯ 98 : international workshop on the web and databases,report on l irst international workshop on real-time database systems,,s son,,sigmod record,1998,1996
report on the first international conference on ontologies;databases and applications of semantics,report on the first international conference on ontologies;databases and applications of semantics,,k aberer,,sigmod record,2003,2003
gloss : text-source discovery over the internet,gloss : text-source discovery over the internet,l gravano;h garcia-molina;a tomasic,l gravano;h garcia-molina;a tomasic,acm trans . database syst .,acm transactions on database systems,1999,1999
the structured information manager : a database system for sgml documents,lore : a database management systemfor semistruc-tured data,r sacks-davis,j mchugh;s abiteboul;r goldman;d quass;j widom,vldb,sigmodrecord,1996,1997.6
optimal clip ordering for multi-clip queries,optimal clip ordering for multi-clip queries,r ng;p shum,rt ng;p shum,vldb j.,the vldb journal the international journal on very large & hellip,1998,1998
the ecrc multi database system,the database language gem,w jonker;h schÑœtz,c zmwolo,sigmod conference,acm sigmod,1995,1997.6
fast algorithms for mining association rules in large databases,fast online dynamic association rule mining,r agrawal;r srikant,yk woon;wk ng;a das,vldb,,1994,1997.6
surfing wavelets on streams : one-pass summaries for approximate aggregate queries,congressional samples for approximate answering of aggregate queries,a gilbert;y kotidis;s muthukrishnan;m strauss,s acharya;pb gibbons;v poosala,vldb,proceedings of acm sigmod,2001,1997.6
supply chain infrastructures : system integration and information sharing,supply chain infrastructures : system integration and information sharing,m ball;m ma;l raschid;z zhao,mo ball;m ma;l raschid;z zhao,sigmod record,sigmod record,2002,2002
quickstore : a high performance mapped object store,datablitz : a high performance main-memory storage manager,s white;d dewitt,j baulier,sigmod conference,,1994,1997.6
panel : future directions of database research - the vldb broadening strategy;part 1,database research : some comments on future directions,h schek,wt hardgrave;eh sibley,vldb,,2000,1997.6
discovery of multiple-level association rules from large databases,mining multiple-level association rules in large databases,j han;y fu,j han;y fu,vldb,,1995,1997.6
semantics for update rule programs and implementations in a relational database management system,a toolkit for the incremental implementation of heterogeneous database management systems,l raschid;j lobo,p drew;r king;d heimbigner,acm trans . database syst .,the vldb journal the international journal on very large & hellip,1996,1992
efficient algorithms for minimizing tree pattern queries,fast algorithms for mining association rules and sequential patterns,p ramanan,r srikant,sigmod conference,,2002,1996
